"Occupation","Genre","AvgRating"
"doctor","Animation","3.3636363"
"other","Horror","3.2448597"
"healthcare","Musical","3.2777777"
"librarian","Animation","3.5534592"
"healthcare","War","3.2652173"
"scientist","Action","3.4222615"
"retired","Musical","3.5268817"
"doctor","Crime","3.804878"
"educator","War","3.9084578"
"other","Documentary","3.7846153"
"lawyer","War","3.943662"
"technician","Action","3.4596848"
"entertainment","Action","3.4068136"
"librarian","Western","3.5853658"
"executive","Animation","3.5604396"
"programmer","unknown","4.0"
"marketing","War","3.8464913"
"engineer","War","3.839161"
"homemaker","Mystery","3.6875"
"healthcare","Animation","2.8651686"
"executive","Western","3.6734693"
"retired","Romance","3.4766355"
"executive","War","3.8237178"
"executive","Film-Noir","3.6034484"
"engineer","Drama","3.701554"
"librarian","Fantasy","3.2181818"
"executive","Children's","3.2025862"
"scientist","Comedy","3.446729"
"entertainment","Comedy","3.2961671"
"homemaker","Drama","3.5384614"
"lawyer","Romance","3.8345587"
"doctor","Film-Noir","4.111111"
"doctor","Children's","3.5"
"none","Western","3.5"
"marketing","Sci-Fi","3.5475113"
"engineer","Sci-Fi","3.5839477"
"engineer","Mystery","3.6336088"
"lawyer","Musical","3.8611112"
"engineer","Thriller","3.489486"
"salesman","Horror","3.3265307"
"healthcare","Romance","2.995992"
"programmer","War","3.8887417"
"student","Romance","3.6508663"
"artist","Fantasy","3.2916667"
"programmer","Children's","3.3447685"
"entertainment","Drama","3.6057215"
"none","Horror","3.857143"
"retired","Drama","3.514443"
"student","Musical","3.5018554"
"salesman","Animation","3.6666667"
"other","Children's","3.4880817"
"educator","Drama","3.811259"
"educator","Mystery","3.7894738"
"lawyer","Documentary","3.9"
"librarian","Adventure","3.4048507"
"scientist","Fantasy","3.15"
"artist","War","3.9022222"
"technician","Drama","3.6949806"
"marketing","Adventure","3.4349594"
"engineer","Film-Noir","3.9241378"
"programmer","Comedy","3.4280398"
"retired","Children's","3.2818182"
"salesman","Crime","3.8607595"
"other","Crime","3.5954106"
"programmer","Musical","3.5246754"
"executive","Fantasy","2.84"
"none","Thriller","3.835878"
"doctor","Adventure","3.5614035"
"educator","Documentary","3.775701"
"programmer","Romance","3.6435714"
"artist","Documentary","4.147059"
"salesman","Western","3.9375"
"writer","Crime","3.502008"
"healthcare","Adventure","3.012384"
"doctor","Sci-Fi","3.5"
"other","Fantasy","3.3888888"
"writer","unknown","1.0"
"writer","Adventure","3.3026707"
"administrator","War","3.9249363"
"librarian","Film-Noir","3.96875"
"entertainment","Western","3.5925925"
"executive","Sci-Fi","3.6265984"
"other","Mystery","3.5906737"
"healthcare","Film-Noir","3.1"
"retired","War","3.6275861"
"lawyer","Crime","3.7476635"
"salesman","Film-Noir","3.7857144"
"healthcare","Thriller","3.0497336"
"technician","unknown","4.0"
"technician","Children's","3.2714932"
"retired","Thriller","3.4368932"
"librarian","Thriller","3.5076766"
"artist","Western","3.862069"
"programmer","Action","3.5658915"
"scientist","Mystery","3.7295082"
"none","Sci-Fi","3.8068964"
"engineer","Animation","3.614325"
"engineer","Horror","3.2826087"
"administrator","Mystery","3.7636364"
"executive","Crime","3.5052264"
"educator","Thriller","3.581777"
"salesman","Adventure","3.7171717"
"scientist","Crime","3.8135593"
"scientist","Film-Noir","4.025641"
"homemaker","Romance","3.5254238"
"artist","Musical","3.4140127"
"technician","Adventure","3.4587815"
"engineer","Musical","3.5170069"
"administrator","Crime","3.6938052"
"none","Mystery","3.5454545"
"technician","Western","3.483146"
"writer","Western","3.4148936"
"salesman","Comedy","3.1878982"
"entertainment","Mystery","3.4772727"
"homemaker","Comedy","2.967742"
"lawyer","Fantasy","3.142857"
"retired","Comedy","3.4589844"
"homemaker","Musical","2.8"
"librarian","Documentary","3.8125"
