"movieId","title","genre","avgRating","numRatings","isPopular"
"1","Toy Story (1995)","Animation,Children's,Comedy","3.88","452","Yes"
"10","Richard III (1995)","Drama,War","3.83","89","Yes"
"100","Fargo (1996)","Crime,Drama,Thriller","4.16","508","Yes"
"1000","Lightning Jack (1994)","Comedy","3.00","10","Yes"
"1001","Stupids, The (1996)","Comedy","2.00","17","Yes"
"1002","Pest, The (1997)","Comedy","1.88","8","Yes"
"1003","That Darn Cat! (1997)","Children's,Comedy,Mystery","2.25","8","Yes"
"1004","Geronimo: An American Legend (1993)","Drama","3.11","9","Yes"
"1005","Double vie de V�ronique, La (Double Life of Veronique, The) (1991)","Drama","3.68","22","Yes"
"1006","Until the End of the World (Bis ans Ende der Welt) (1991)","Drama,Sci-Fi","2.83","23","Yes"
"1007","Waiting for Guffman (1996)","Comedy","4.13","47","Yes"
"1008","I Shot Andy Warhol (1996)","Drama","3.38","37","Yes"
"1009","Stealing Beauty (1996)","Drama","3.38","64","Yes"
"101","Heavy Metal (1981)","Action,Adventure,Animation,Horror,Sci-Fi","3.26","73","Yes"
"1010","Basquiat (1996)","Drama","3.25","44","Yes"
"1011","2 Days in the Valley (1996)","Crime","3.23","93","Yes"
"1012","Private Parts (1997)","Comedy,Drama","3.53","100","Yes"
"1013","Anaconda (1997)","Action,Adventure,Thriller","2.29","38","Yes"
"1014","Romy and Michele's High School Reunion (1997)","Comedy","3.06","98","Yes"
"1015","Shiloh (1997)","Children's,Drama","2.83","12","Yes"
"1016","Con Air (1997)","Action,Adventure,Thriller","3.46","137","Yes"
"1017","Trees Lounge (1996)","Drama","3.24","50","Yes"
"1018","Tie Me Up! Tie Me Down! (1990)","Drama","3.19","32","Yes"
"1019","Die xue shuang xiong (Killer, The) (1989)","Action,Thriller","3.97","31","Yes"
"102","Aristocats, The (1970)","Animation,Children's","3.13","54","Yes"
"1020","Gaslight (1944)","Mystery,Thriller","3.89","35","Yes"
"1021","8 1/2 (1963)","Drama","3.82","38","Yes"
"1022","Fast, Cheap & Out of Control (1997)","Documentary","3.44","32","Yes"
"1023","Fathers' Day (1997)","Comedy","2.58","31","Yes"
"1024","Mrs. Dalloway (1997)","Romance","3.60","15","Yes"
"1025","Fire Down Below (1997)","Action,Drama,Thriller","2.93","44","Yes"
"1026","Lay of the Land, The (1997)","Comedy,Drama","2.50","4","Yes"
"1027","Shooter, The (1995)","Action","2.67","3","Yes"
"1028","Grumpier Old Men (1995)","Comedy,Romance","3.04","148","Yes"
"1029","Jury Duty (1995)","Comedy","2.00","14","Yes"
"103","All Dogs Go to Heaven 2 (1996)","Animation,Children's,Musical","1.87","15","Yes"
"1030","Beverly Hillbillies, The (1993)","Comedy","2.25","20","Yes"
"1031","Lassie (1994)","Adventure,Children's","2.29","7","Yes"
"1032","Little Big League (1994)","Children's,Comedy","2.88","16","Yes"
"1033","Homeward Bound II: Lost in San Francisco (1996)","Adventure,Children's","2.78","32","Yes"
"1034","Quest, The (1996)","Action,Adventure","2.52","27","Yes"
"1035","Cool Runnings (1993)","Comedy","3.16","68","Yes"
"1036","Drop Dead Fred (1991)","Comedy,Fantasy","2.75","24","Yes"
"1037","Grease 2 (1982)","Comedy,Musical,Romance","2.00","24","Yes"
"1038","Switchback (1997)","Thriller","2.82","17","Yes"
"1039","Hamlet (1996)","Drama","4.01","90","Yes"
"104","Theodore Rex (1995)","Comedy","1.40","5","Yes"
"1040","Two if by Sea (1996)","Comedy,Romance","2.60","25","Yes"
"1041","Forget Paris (1995)","Comedy,Romance","3.19","62","Yes"
"1042","Just Cause (1995)","Mystery,Thriller","3.14","28","Yes"
"1043","Rent-a-Kid (1995)","Comedy","3.00","8","Yes"
"1044","Paper, The (1994)","Comedy,Drama","3.23","40","Yes"
"1045","Fearless (1993)","Drama","3.24","25","Yes"
"1046","Malice (1993)","Thriller","3.17","46","Yes"
"1047","Multiplicity (1996)","Comedy","2.84","134","Yes"
"1048","She's the One (1996)","Comedy,Romance","3.01","73","Yes"
"1049","House Arrest (1996)","Comedy","2.52","25","Yes"
"105","Sgt. Bilko (1996)","Comedy","2.57","74","Yes"
"1050","Ghost and Mrs. Muir, The (1947)","Drama,Romance","3.65","43","Yes"
"1051","Associate, The (1996)","Comedy","3.24","41","Yes"
"1052","Dracula: Dead and Loving It (1995)","Comedy,Horror","2.28","25","Yes"
"1053","Now and Then (1995)","Drama","3.46","24","Yes"
"1054","Mr. Wrong (1996)","Comedy","2.30","23","Yes"
"1055","Simple Twist of Fate, A (1994)","Drama","3.20","10","Yes"
"1056","Cronos (1992)","Horror","3.20","10","Yes"
"1057","Pallbearer, The (1996)","Comedy","2.32","22","Yes"
"1058","War, The (1994)","Adventure,Drama","3.27","15","Yes"
